('Odoo module practice details.pdf', 5)
('Demon Slayer (1).png', 5)
('Dopamine Detox.jpg', 5)
('One Piece.png', <function Datetime.now at 0x76b03474fce0>, 5)
('Timesheet Report.pdf', datetime.datetime(2026, 3, 18, 4, 58, 19), 5)
('TripSphere PPT.pdf', datetime.date(2026, 3, 18), 5)
('Vinland Saga.png', datetime.datetime(2026, 3, 18, 5, 0, 55), 5)
('Demon Slayer (1).png', datetime.date(2026, 3, 18), 5)
('Dopamine Detox.png', datetime.date(2026, 3, 18), 5)
('Demon Slayer.png', datetime.date(2026, 3, 18), 4)
(False, datetime.date(2026, 3, 18), 4)
('Demon Slayer.png', datetime.date(2026, 3, 18), 4)
('One Piece.png', datetime.date(2026, 3, 18), 4)
('Demon Slayer (1).png', datetime.date(2026, 3, 19), 3)
(False, datetime.date(2026, 3, 19), False)
(False, datetime.date(2026, 3, 23), False)
(False, datetime.date(2026, 3, 23), False)
('Naruto.png', datetime.date(2026, 3, 23), 1)
(False, datetime.date(2026, 3, 23), False)
(False, datetime.date(2026, 3, 23), False)
('modern-seal-gold.svg', datetime.date(2026, 3, 24), 1)
('One Piece.png', datetime.date(2026, 3, 26), 4)
('4928934-uhd_3840_2160_24fps.mp4', datetime.date(2026, 3, 26), 5)
('Eat That Frog.png', datetime.date(2026, 3, 26), 5)
(False, datetime.date(2026, 3, 26), False)
(False, datetime.date(2026, 3, 26), False)
('book-svgrepo-com.svg', datetime.date(2026, 3, 26), 20)
('One Piece.png', datetime.date(2026, 3, 31), 1)
